,Name,Perc_ of balls faced,Perc_ of balls delivered,is Wicket keeper
200,Obed McCoy,3,96,0
201,Mayank Dagar,0,99,0
202,Washington Sundar,36,63,0
203,Root,55,44,0
204,Dhawan,100,0,0
205,Raza,61,38,0
206,Mohit Rathee,14,85,0
207,Odean Smith,32,67,0
208,Angkrish Raghuvanshi,100,0,0
209,Willey,28,71,0
210,Brevis,99,1,0
211,T Natarajan,0,100,0
212,Jitesh Sharma,100,0,1
213,Indrajith,100,0,0
214,Khejroliya,0,100,0
215,Ayush Badoni,95,4,0
216,Pathirana,0,100,0
217,Karan Sharma,100,0,0
218,Priyam Garg,100,0,0
219,Holder,11,88,0
220,Hardik Pandya,54,45,0
221,Arshin Kulkarni,100,0,0
222,Suyash Sharma,0,100,0
223,Matheesha Pathirana,0,100,0
224,Bhuvneshwar,9,90,0
225,Rayudu,100,0,0
226,Short,79,20,0
227,Bairstow,100,0,0
228,Raghav Goyal,0,100,0
229,Karthik,100,0,1
230,Rinku Singh,100,0,0
231,Karim Janat,0,100,0
232,Tushar Deshpande,1,98,0
233,Abdul Samad,97,2,0
234,Shahrukh Khan,95,4,0
235,Livingstone 1 run,100,0,0
236,Shubman Gill,100,0,0
237,Will Jacks,68,31,0
238,Thakur,18,81,0
239,W Saha,100,0,1
240,Seifert,100,0,0
241,Shanaka,100,0,0
242,Klaasen,100,0,1
243,Abhinav Manohar,100,0,0
244,Gurbaz,100,0,0
245,Roy,100,0,0
246,Chakaravarthy,3,96,0
247,Harpreet Singh,100,0,0
248,Mishra,19,80,0
249,Shubham Dubey,100,0,0
250,Chahal,0,99,0
251,Coulter-Nile,10,90,0
252,Conway,100,0,0
253,Miller,100,0,0
254,Saha,100,0,1
255,Chameera,9,90,0
256,Ngidi,4,96,0
257,Hetmyer,100,0,0
258,Ashwani Kumar,0,100,0
259,Head,98,1,0
260,Nitish Rana,90,9,0
261,Kamindu Mendis,62,37,0
262,William ORourke,0,100,0
263,Vaibhav Arora,3,96,0
264,Rahul,100,0,1
265,Lalit Yadav,51,48,0
266,Theekshana,3,96,0
267,N Thushara,0,100,0
268,van der Dussen,100,0,0
269,Umran Malik,3,96,0
270,Lewis,100,0,0
271,Hazlewood,4,95,0
272,Shams Mulani,3,96,0
273,Avesh Khan,2,97,0
274,Mulder,64,35,0
275,Corbin Bosch,43,56,0
276,Warner,100,0,0
277,Kuldeep Sen,1,98,0
278,Finch,100,0,0
279,Rahane,100,0,0
280,Yash Thakur,0,100,0
281,Vohra,100,0,0
282,Abhishek Sharma,82,17,0
283,Josh Inglis,100,0,1
284,Powell,93,6,0
285,Behrendorff,3,96,0
286,Alzarri Joseph,4,95,0
287,Mitchell Owen,100,0,0
288,Shreyas Iyer,99,0,0
289,Russell,51,48,0
290,Mitchell,86,13,0
291,Harpreet Brar,18,81,0
292,Praveen Dubey,40,60,0
293,Jacob Bethell,100,0,0
294,Jaiswal,99,0,0
295,Abbott,17,82,0
296,Prabhsimran,100,0,1
297,Abdul Basith,100,0,0
298,Sam Curran,46,53,0
299,Mayank Yadav,0,100,0
